NIS,Commune,Taux
34013,Harelbeke,"0,47"
34022,Courtrai,"0,41"
34023,Kuurne,"0,36"
34025,Lendelede,n/a
34027,Menin,"0,39"
34040,Waregem,"0,22"
34041,Wevelgem,"0,44"
34042,Zwevegem,"0,35"
34043,Espierres-Helchin,n/a
35002,Bredene,"0,27"
35005,Gistel,"0,36"
35006,Ichtegem,"0,31"
35011,Middelkerke,"0,41"
35013,Ostende,"0,42"
35014,Oudenburg,"0,50"
35029,De Haan,"0,37"
36006,Hooglede,"0,25"
36007,Ingelmunster,"0,40"
36008,Izegem,"0,25"
36010,Ledegem,"0,07"
36011,Lichtervelde,"0,00"
36012,Moorslede,"0,22"
36015,Roulers,"0,32"
36019,Staden,"0,28"
37002,Dentergem,n/a
37022,Tielt,"0,34"
37010,Oostrozebeke,"0,18"
37011,Pittem,"0,00"
37021,Wingene,"0,40"
37017,Wielsbeke,"0,24"
37020,Ardooie,"0,27"
38002,Alveringem,"0,10"
38008,La Panne,"0,48"
38014,Koksijde,"0,29"
38016,Nieuport,"0,49"
38025,Furnes,"0,35"
41002,Alost,"0,29"
41011,Denderleeuw,"0,32"
41018,Grammont,"0,42"
41024,Haaltert,"0,21"
41027,Herzele,"0,11"
41034,Lede,"0,28"
41048,Ninove,"0,31"
41063,Sint-Lievens-Houtem,"0,39"
41081,Zottegem,"0,33"
41082,Erpe-Mere,"0,21"
42003,Berlare,"0,38"
42004,Buggenhout,"0,19"
42006,Termonde,"0,31"
42008,Hamme,"0,33"
42010,Laarne,"0,31"
42011,Lebbeke,"0,33"
42023,Waasmunster,"0,38"
42025,Wetteren,"0,33"
42026,Wichelen,"0,26"
42028,Zele,"0,23"
43002,Assenede,"0,52"
43005,Eeklo,"0,43"
43007,Kaprijke,"0,09"
43010,Maldegem,"0,47"
43014,Sint-Laureins,"0,21"
43018,Zelzate,"0,26"
44084,Aalter,"0,21"
44083,Deinze,"0,36"
44086,Nazareth-De Pinte,"0,27"
44013,Destelbergen,"0,25"
44019,Evergem,"0,19"
44020,Gavere,"0,09"
44021,Gand,"0,34"
44087,Lochristi,"0,26"
44085,Lievegem,"0,32"
44088,Merelbeke-Melle,"0,23"
44052,Oosterzele,"0,24"
44064,Sint-Martens-Latem,n/a
44081,Zulte,"0,32"
45068,Kruisem,"0,17"
45035,Audenarde,"0,39"
45041,Renaix,"0,33"
45059,Brakel,"0,25"
45060,Kluisbergen,"0,09"
45061,Wortegem-Petegem,"0,50"
45062,Horebeke,n/a
45063,Lierde,"0,30"
45064,Maarkedal,"0,10"
45065,Zwalm,n/a
46030,Beveren-Kruibeke-Zwijndrecht,"0,40"
46029,Lokeren,"0,30"
46020,Sint-Gillis-Waas,"0,41"
46021,Saint-Nicolas,"0,43"
46024,Stekene,"0,28"
46025,Tamise,"0,43"
51004,Ath,"0,40"
51008,Beloeil,"0,45"
51009,Bernissart,"0,45"
51012,Brugelette,"0,36"
51014,Chièvres,"0,27"
51017,Ellezelles,"0,27"
51019,Flobecq,"0,32"
51065,Frasnes-lez-Anvaing,"0,36"
51067,Enghien,"0,41"
51068,Silly,"0,26"
51069,Lessines,"0,47"
52010,Chapelle-lez-Herlaimont,"0,45"
52011,Charleroi,"0,51"
52012,Châtelet,"0,56"
52015,Courcelles,"0,50"
52018,Farciennes,"0,47"
52021,Fleurus,"0,44"
